Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4147.1796875000,4134.8715820312,4155.8974609375,4042.1794433594,4145.7690429688,4150.8974609375,4152.4360351562,4130.7690429688,4137.1796875000,4141.2822265625,4147.0512695312,4151.9228515625,4122.0512695312,4164.8715820312,,,
0.0039062500,0,4146.1538085938,4139.4873046875,4155.6411132812,4044.2307128906,4143.4614257812,4150.8974609375,4152.3076171875,4129.1025390625,4136.5385742188,4141.0258789062,4150.3847656250,4153.7177734375,4123.0771484375,4165.8974609375,,,
0.0078125000,0,4144.3588867188,4145.2563476562,4155.8974609375,4043.3332519531,4141.4101562500,4151.0258789062,4149.6152343750,4128.5898437500,4138.9741210938,4145.5126953125,4151.6665039062,4152.9487304688,4125.7690429688,4165.3847656250,,,
0.0117187500,0,4140.6411132812,4146.1538085938,4152.5639648438,4037.3076171875,4137.9487304688,4151.0258789062,4144.2309570312,4128.2050781250,4140.5126953125,4148.2050781250,4147.8203125000,4148.0771484375,4126.9228515625,4161.5385742188,,,
0.0156250000,1,4135.3847656250,4140.7690429688,4144.6152343750,4028.9743652344,4132.9487304688,4151.0258789062,4138.9741210938,4127.8203125000,4138.5898437500,4145.1284179688,4141.0258789062,4141.4101562500,4125.5126953125,4155.7690429688,,,
0.0195312500,1,4130.3847656250,4131.9228515625,4135.7690429688,4023.3332519531,4128.3334960938,4151.5385742188,4137.5639648438,4128.8461914062,4134.8715820312,4138.7177734375,4136.5385742188,4137.6923828125,4123.7177734375,4152.5639648438,,,
0.0234375000,1,4128.3334960938,4124.3588867188,4131.4101562500,4024.4870605469,4127.6923828125,4152.5639648438,4141.6665039062,4132.3076171875,4133.3334960938,4135.3847656250,4138.3334960938,4139.8715820312,4124.6152343750,4154.7436523438,,,
0.0273437500,1,4130.2563476562,4121.9228515625,4133.9741210938,4032.4357910156,4133.2050781250,4153.9741210938,4149.3588867188,4137.8203125000,4136.9228515625,4138.9741210938,4145.7690429688,4146.6665039062,4129.4873046875,4161.2822265625,,,
0.0312500000,2,4134.7436523438,4126.4101562500,4141.9228515625,4043.3332519531,4143.4614257812,4155.3847656250,4156.5385742188,4143.3334960938,4144.3588867188,4147.3076171875,4154.3588867188,4153.8461914062,4137.3076171875,4167.8203125000,,,
0.0351562500,2,4138.7177734375,4136.5385742188,4150.6411132812,4051.6667480469,4153.7177734375,4156.4101562500,4159.3588867188,4146.6665039062,4151.6665039062,4155.3847656250,4159.2309570312,4157.4360351562,4145.1284179688,4170.0000000000,,,
