Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4150.6411132812,4178.9741210938,4208.0771484375,4140.3847656250,4148.2050781250,4152.3076171875,4143.9741210938,4128.0771484375,4137.3076171875,4137.4360351562,4137.6923828125,4153.8461914062,4146.5385742188,4152.5639648438,,,
0.0039062500,0,4151.5385742188,4166.6665039062,4204.8715820312,4135.8974609375,4149.8715820312,4153.2050781250,4138.7177734375,4123.0771484375,4134.3588867188,4133.4614257812,4134.6152343750,4150.5126953125,4142.4360351562,4149.2309570312,,,
0.0078125000,0,4152.8203125000,4154.6152343750,4203.7177734375,4135.6411132812,4153.8461914062,4153.8461914062,4137.0512695312,4120.7690429688,4133.2050781250,4134.4873046875,4133.4614257812,4149.6152343750,4140.8974609375,4149.6152343750,,,
0.0117187500,0,4152.3076171875,4146.4101562500,4203.2050781250,4137.8203125000,4156.5385742188,4153.7177734375,4138.9741210938,4121.0258789062,4133.2050781250,4137.6923828125,4133.9741210938,4149.7436523438,4142.6923828125,4151.5385742188,,,
0.0156250000,1,4149.8715820312,4145.8974609375,4203.2050781250,4140.5126953125,4156.5385742188,4153.4614257812,4143.3334960938,4122.6923828125,4134.4873046875,4140.1284179688,4135.2563476562,4150.0000000000,4147.3076171875,4152.4360351562,,,
0.0195312500,1,4147.0512695312,4153.9741210938,4205.1284179688,4142.9487304688,4155.5126953125,4153.8461914062,4148.2050781250,4124.1025390625,4137.1796875000,4140.8974609375,4137.0512695312,4150.5126953125,4152.9487304688,4151.4101562500,,,
0.0234375000,1,4145.0000000000,4167.9487304688,4209.3588867188,4145.3847656250,4155.3847656250,4155.3847656250,4151.9228515625,4124.8715820312,4140.6411132812,4141.4101562500,4139.1025390625,4151.1538085938,4156.9228515625,4149.7436523438,,,
0.0273437500,1,4143.4614257812,4181.1538085938,4214.2309570312,4147.8203125000,4156.2822265625,4156.9228515625,4153.2050781250,4125.0000000000,4142.8203125000,4142.6923828125,4140.8974609375,4151.5385742188,4157.0512695312,4148.9741210938,,,
0.0312500000,2,4141.9228515625,4186.7949218750,4216.5385742188,4150.0000000000,4157.3076171875,4157.5639648438,4151.7949218750,4125.7690429688,4142.4360351562,4144.7436523438,4141.2822265625,4150.8974609375,4153.7177734375,4149.7436523438,,,
0.0351562500,2,4140.1284179688,4182.1796875000,4215.2563476562,4151.2822265625,4157.8203125000,4156.6665039062,4148.9741210938,4127.5639648438,4140.2563476562,4146.6665039062,4139.8715820312,4149.3588867188,4150.0000000000,4150.5126953125,,,
0.0390625000,2,4139.2309570312,4170.5126953125,4212.4360351562,4151.6665039062,4158.0771484375,4155.2563476562,4147.3076171875,4131.0258789062,4138.8461914062,4148.5898437500,4138.3334960938,4147.4360351562,4149.8715820312,4150.3847656250,,,
